,questionnaire_id,global_id,Edad,Profesion,Estudios,Calor1,Telequinesis1,Magnetismo1,Cosmica1,Cuantica1,Presion1,Aura1,Electricidad1,Poderes1,NoLoSe1,Calor1_Escala,Telequinesis1_Escala,Magnetismo1_Escala,Cosmica1_Escala,Cuantica1_Escala,Presion1_Escala,Aura1_Escala,Electricidad1_Escala,Poderes1_Escala,NoLoSe1_Escala,Comentario,RelevanciaMano,Calor2,Telequinesis2,Magnetismo2,Cosmica2,Cuantica2,Presion2,Aura2,Electricidad2,Poderes2,NoLoSe2,Calor2_Escala,Telequinesis2_Escala,Magnetismo2_Escala,Cosmica2_Escala,Cuantica2_Escala,Presion2_Escala,Aura2_Escala,Electricidad2_Escala,Poderes2_Escala,NoLoSe2_Escala,HayTruco?,Bailar,Cocinar,Matematica,TV,Construir,Oficina,Tarot,Leer,Religion,Reparar,Programar,Correr,Acertijos,Astrologia,Deportes,Debatir,Magia,Electronica,Origen
12,['56877'],1003,25-40,Ingenieria (no sist),Secundaria,Es,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,Podria,NS/NC,NS/NC,1,7,7,7,7,7,7,2,7,7,0,10,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,Es,0,0,0,0,0,0,0,0,0,0,NoSe,3,4,4,3,1,1,3,3,4,4,2,4,4,0,2,2,4,4,data_CBCF03Ariel
13,['55793'],1003,18-24,Ingenieria (no sist),Secundaria,Es,NS/NC,NS/NC,NS/NC,NS/NC,Podria,NS/NC,NS/NC,NS/NC,NS/NC,2,7,6,7,7,3,7,7,7,4,0,8,Podria,NS/NC,Podria,NS/NC,NS/NC,Podria,NS/NC,Podria,NS/NC,Es,4,7,4,7,6,4,7,4,7,1,Si,4,0,3,3,2,2,0,4,3,2,0,4,4,1,1,3,3,3,data_CBCF03Ariel
14,['31614'],1003,18-24,Ingenieria (no sist),Univ en curso,NS/NC,NS/NC,NS/NC,NS/NC,Es,NS/NC,Podria,NS/NC,NS/NC,NS/NC,5,0,4,3,1,2,2,5,7,0,0,8,NS/NC,NS/NC,Podria,NS/NC,Podria,NS/NC,Es,NS/NC,NS/NC,NS/NC,5,7,1,7,2,6,2,6,7,0,Si,2,2,3,4,3,2,0,4,0,4,1,2,2,3,2,1,2,3,data_CBCF03Ariel
15,['53896'],1003,18-24,Mate/Comp/Sist,Univ en curso,NS/NC,NS/NC,Podria,NS/NC,NS/NC,Podria,NS/NC,Podria,NS/NC,Es,7,7,5,7,6,5,7,4,7,0,0,5,NS/NC,Podria,NS/NC,NS/NC,NS/NC,Podria,Podria,Podria,Es,NS/NC,7,5,7,7,7,6,6,5,1,2,No,3,2,2,4,1,2,NS/NC,0,0,1,2,2,1,3,3,2,4,4,data_CBCF03Ariel
16,['52510'],1003,25-40,Bio/Qui/Geo/Pale,Univ en curso,NS/NC,NS/NC,Es,NS/NC,NS/NC,NS/NC,Podria,Podria,NS/NC,NS/NC,3,7,2,6,4,6,5,4,7,7,0,9,NS/NC,NS/NC,Es,NS/NC,NS/NC,NS/NC,NS/NC,Podria,NS/NC,NS/NC,3,7,2,3,4,6,6,3,7,7,No,3,2,1,4,2,1,3,3,1,2,2,3,2,4,3,3,2,2,data_CBCF03Ariel
17,['31653'],1003,18-24,Profesorado Naturales,Secundaria,Podria,NS/NC,Es,NS/NC,Podria,Podria,Podria,Es,Podria,NS/NC,6,0,1,7,7,5,4,2,7,0,0,10,NS/NC,NS/NC,Es,NS/NC,NS/NC,NS/NC,NS/NC,Podria,NS/NC,NS/NC,0,0,0,0,0,0,0,3,0,0,Si,4,2,3,4,NS/NC,1,2,3,1,1,2,4,4,2,1,3,2,2,data_CBCF03Ariel
18,['35081'],1003,18-24,Bio/Qui/Geo/Pale,Secundaria,NS/NC,NS/NC,Podria,NS/NC,NS/NC,Es,NS/NC,Podria,NS/NC,NS/NC,4,7,2,0,7,1,5,2,7,0,0,6,NS/NC,NS/NC,Es,NS/NC,NS/NC,NS/NC,Podria,Podria,NS/NC,NS/NC,7,7,1,7,7,7,5,2,7,7,No,3,3,3,2,2,0,1,4,0,2,2,2,3,3,2,3,2,3,data_CBCF03Ariel
19,['61186'],1003,25-40,Mate/Comp/Sist,Null,Podria,NS/NC,NS/NC,NS/NC,NS/NC,Podria,NS/NC,Es,NS/NC,NS/NC,5,7,7,7,7,6,7,0,7,1,0,7,Podria,NS/NC,NS/NC,NS/NC,Podria,Podria,NS/NC,Es,NS/NC,NS/NC,4,7,7,7,5,4,7,2,7,1,NoSe,2,3,1,4,3,2,1,3,0,3,4,3,3,2,3,2,1,3,data_CBCF03Ariel
20,['44886'],1003,18-24,Mate/Comp/Sist,Univ en curso,NS/NC,NS/NC,Es,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,4,4,1,7,4,4,7,3,7,0,0,1,NS/NC,NS/NC,Es,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,5,4,1,7,4,0,7,3,0,0,No,0,4,3,4,2,2,0,4,1,2,4,4,3,1,4,3,4,4,data_CBCF03Ariel
21,['16080'],1003,25-40,Profesorado Naturales,Secundaria,Podria,NS/NC,Es,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,0,7,0,7,6,4,7,6,7,1,0,10,Es,NS/NC,Podria,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,0,7,0,7,7,6,7,7,7,1,NoSe,3,4,3,4,2,3,2,3,1,3,3,4,2,2,4,3,2,3,data_CBCF03Ariel
22,['50207'],1003,18-24,Ingenieria (no sist),Universidad,Podria,NS/NC,Podria,NS/NC,Podria,Podria,NS/NC,Es,NS/NC,NS/NC,4,7,3,7,4,6,7,2,7,1,0,4,Podria,NS/NC,Podria,NS/NC,NS/NC,Podria,NS/NC,Es,NS/NC,NS/NC,5,0,6,0,0,5,0,1,0,0,Si,4,3,2,2,3,1,2,4,Null,1,1,3,1,3,2,3,1,2,data_CBCF03Ariel
23,['21680'],1003,25-40,Bio/Qui/Geo/Pale,Secundaria,Podria,NS/NC,NS/NC,NS/NC,NS/NC,Es,NS/NC,Podria,NS/NC,NS/NC,4,0,0,0,0,2,0,6,0,0,0,7,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,Es,NS/NC,NS/NC,0,0,0,0,0,0,0,2,0,0,No,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,4,NS/NC,NS/NC,NS/NC,NS/NC,data_CBCF03Ariel
