,questionnaire_id,global_id,Edad,Profesion,Estudios,Calor1_Escala,Telequinesis1_Escala,Magnetismo1_Escala,Cosmica1_Escala,Cuantica1_Escala,Presion1_Escala,Aura1_Escala,Electricidad1_Escala,Poderes1_Escala,NoLoSe1_Escala,Comentario,RelevanciaMano,Calor2_Escala,Telequinesis2_Escala,Magnetismo2_Escala,Cosmica2_Escala,Cuantica2_Escala,Presion2_Escala,Aura2_Escala,Electricidad2_Escala,Poderes2_Escala,NoLoSe2_Escala,HayTruco?,Bailar,Cocinar,Matematica,TV,Construir,Oficina,Tarot,Leer,Religion,Reparar,Programar,Correr,Acertijos,Astrologia,Deportes,Debatir,Magia,Electronica,Origen,Justificacion1,Podria1,Justificacion2,Podria2
14,['36560'],1003,18-24,Cs_Medicas,Univ en curso,0.14285714285714285,1.0,0.5714285714285714,1.0,1.0,0.7142857142857143,0.8571428571428571,0.2857142857142857,1.0,1.0,0,9,0.42857142857142855,1.0,0.14285714285714285,1.0,1.0,0.7142857142857143,0.7142857142857143,0.5714285714285714,1.0,1.0,NoSe,2,3,2,Null,2,1,2,2,2,3,2,3,3,2,Null,1,3,3,data_CBCBio07,Calor,"['Magnetismo', 'Electricidad', 'NoLoSe']",Magnetismo,"['Calor', 'Aura', 'Electricidad', 'NoLoSe']"
15,['28522'],1003,18-24,Cs_Medicas,Univ en curso,0.8571428571428571,1.0,0.14285714285714285,1.0,0.5714285714285714,0.2857142857142857,0.8571428571428571,0.42857142857142855,1.0,0.5714285714285714,0,10,0.42857142857142855,1.0,0.14285714285714285,0.8571428571428571,0.8571428571428571,0.7142857142857143,0.8571428571428571,0.2857142857142857,1.0,0.5714285714285714,Si,4,3,3,4,4,2,2,4,3,4,2,2,4,4,3,1,3,3,data_CBCBio07,Magnetismo,['Presion'],Magnetismo,['Electricidad']
16,['41975'],1003,18-24,Cs_Medicas,Univ en curso,0.2857142857142857,1.0,0.5714285714285714,0.2857142857142857,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.14285714285714285,1.0,Ns/Nc,0,0,0.2857142857142857,1.0,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.2857142857142857,0.14285714285714285,0.14285714285714285,1.0,Ns/Nc,Si,4,0,1,4,1,1,0,3,1,0,1,4,0,1,4,2,3,3,data_CBCBio07,Electricidad,"['Calor', 'Cosmica']",Electricidad,"['Calor', 'Cosmica', 'Cuantica', 'Aura']"
17,['30674'],1003,18-24,Cs_Medicas,Univ en curso,0.8571428571428571,1.0,Ns/Nc,0.8571428571428571,0.5714285714285714,0.42857142857142855,0.8571428571428571,0.42857142857142855,0.14285714285714285,Ns/Nc,0,6,0.7142857142857143,0.8571428571428571,0.2857142857142857,1.0,0.7142857142857143,0.8571428571428571,0.8571428571428571,0.2857142857142857,0.8571428571428571,Ns/Nc,No,3,2,3,Null,1,1,1,4,1,1,1,2,2,3,3,3,2,1,data_CBCBio07,Magnetismo,['Presion'],Electricidad,[]
18,['26094'],1003,18-24,Cs_Medicas,Univ en curso,0.8571428571428571,1.0,0.14285714285714285,0.5714285714285714,0.7142857142857143,0.8571428571428571,0.42857142857142855,0.5714285714285714,1.0,Ns/Nc,0,9,0.7142857142857143,0.7142857142857143,0.2857142857142857,0.8571428571428571,0.8571428571428571,1.0,0.14285714285714285,0.5714285714285714,0.42857142857142855,Ns/Nc,NoSe,2,3,3,4,3,1,4,4,1,2,1,3,2,3,4,4,2,1,data_CBCBio07,Ns/Nc,"['Presion', 'Aura', 'Electricidad']",Aura,"['Telequinesis', 'Magnetismo', 'Poderes']"
19,['33506'],1003,18-24,Cs_Medicas,Univ en curso,0.7142857142857143,Ns/Nc,0.5714285714285714,0.8571428571428571,0.8571428571428571,0.5714285714285714,0.7142857142857143,0.14285714285714285,1.0,0.5714285714285714,0,5,0.5714285714285714,0.42857142857142855,0.14285714285714285,0.42857142857142855,0.42857142857142855,0.7142857142857143,0.5714285714285714,0.14285714285714285,0.8571428571428571,1.0,NoSe,3,Null,NS/NC,4,3,3,2,3,2,3,3,3,2,2,4,4,3,2,data_CBCBio07,Electricidad,['Magnetismo'],Electricidad,"['Telequinesis', 'Aura']"
20,['27222'],1003,18-24,Cs_Medicas,Univ en curso,0.42857142857142855,Ns/Nc,Ns/Nc,Ns/Nc,0.8571428571428571,Ns/Nc,Ns/Nc,Ns/Nc,Ns/Nc,Ns/Nc,0,10,Ns/Nc,Ns/Nc,0.5714285714285714,Ns/Nc,Ns/Nc,Ns/Nc,Ns/Nc,Ns/Nc,Ns/Nc,Ns/Nc,No,4,2,3,3,1,2,1,4,3,2,1,2,1,1,1,2,3,1,data_CBCBio07,Calor,['Cuantica'],Magnetismo,[]
21,['56252'],1003,18-24,Cs_Medicas,Univ en curso,0.42857142857142855,1.0,0.7142857142857143,1.0,0.7142857142857143,0.5714285714285714,1.0,0.14285714285714285,1.0,1.0,0,0,1.0,1.0,0.2857142857142857,1.0,0.2857142857142857,1.0,1.0,0.14285714285714285,1.0,Ns/Nc,Si,3,4,3,3,2,1,1,2,1,3,3,4,4,1,4,4,4,4,data_CBCBio07,Electricidad,"['Calor', 'Magnetismo']",Electricidad,"['Magnetismo', 'Cuantica', 'Poderes']"
22,['16240'],1003,18-24,Cs_Medicas,Univ en curso,Ns/Nc,Ns/Nc,Ns/Nc,Ns/Nc,Ns/Nc,Ns/Nc,Ns/Nc,Ns/Nc,Ns/Nc,Ns/Nc,0,0,Ns/Nc,Ns/Nc,Ns/Nc,Ns/Nc,Ns/Nc,Ns/Nc,Ns/Nc,Ns/Nc,Ns/Nc,Ns/Nc,Si,2,4,2,4,4,2,1,3,3,3,NS/NC,3,3,2,2,3,NS/NC,NS/NC,data_CBCBio07,Magnetismo,"['Telequinesis', 'Presion']",Ns/Nc,[]
23,['15828'],1003,>40,Cs_Medicas,Posgrado,0.14285714285714285,Ns/Nc,Ns/Nc,Ns/Nc,Ns/Nc,Ns/Nc,Ns/Nc,Ns/Nc,Ns/Nc,Ns/Nc,0,10,Ns/Nc,Ns/Nc,Ns/Nc,0.5714285714285714,Ns/Nc,Ns/Nc,Ns/Nc,Ns/Nc,Ns/Nc,Ns/Nc,No,4,4,1,4,3,1,3,4,3,3,1,3,3,3,4,3,2,1,data_CBCBio07,Calor,[],Magnetismo,[]
